Geography,Total Inpatient Visits Num,"Total Inpatient Visits Age-Adjusted Rate per 100,000",Asthma Inpatient Visits Num,"Asthma Inpatient Visits Age-Adjusted Rate per 100,000",Childhood Asthma Inpatient Visits Num,"Childhood Asthma Inpatient Visits Age-Adjusted Rate per 100,000",Coronary Heart Disease Inpatient Visits Num,"Coronary Heart Disease Inpatient Visits Age-Adjusted Rate per 100,000",Congesitve Heart Failure Inpatient Visits Num,"Congesitve Heart Failure Inpatient Visits Age-Adjusted Rate per 100,000",Stroke Inpatient Visits Num,"Stroke Inpatient Visits Age-Adjusted Rate per 100,000",Diabetes-Related Inpatient Visits Num,"Diabetes-Related Inpatient Visits Age-Adjusted Rate per 100,000",Hypertension-Related Inpatient Visits Num,"Hypertension-Related Inpatient Visits Age-Adjusted Rate per 100,000",Obesity-Related Inpatient Visits Num,"Obesity-Related Inpatient Visits Age-Adjusted Rate per 100,000"
94546,12485,8941.2,122,97.2,20,295.6,438,254.8,340,182,371,221.8,1346,820.3,1515,912.4,602,430.7
94550,13205,9041.7,75,50.2,11,133.7,368,220.7,398,242.4,237,141.8,1182,727.3,1562,918.2,503,327.3
94551,9499,9519.2,46,52.8,11,139.7,189,198.9,155,205.8,175,218.3,837,899.1,883,905.6,427,357.9
94552,2628,6192.2,15,32,-1,-1,92,173.6,43,97.9,82,181.9,230,456,328,627.5,96,196.5
94555,7000,7073.9,70,73.8,15,178.8,228,246.8,142,176,140,165.5,679,746.1,645,663.9,220,210.5
94560,10875,8473.9,144,119.9,25,266.3,370,290.7,209,179.8,243,196.3,1250,999.6,1201,927.8,559,417.1
94566,8829,7004.2,64,48.7,-1,-1,228,150.1,198,136.2,185,123.7,763,528.1,1126,736,277,196.7
94568,11074,8221.3,64,49.6,17,157.5,271,235.1,139,161.9,194,195.6,827,746.7,937,795.7,366,243.6
94577,13448,8765.4,131,91.9,40,454.4,480,276.5,353,192.2,333,185.8,1527,917.8,1659,976.3,630,421.1
94578,12064,9990.7,143,122.3,38,445.6,324,274,237,203,289,257.7,1305,1107.2,1357,1136.5,588,477.1
94579,5665,8993.5,55,93,10,311.1,180,241,165,212.8,179,226.9,691,966.4,731,999,222,355
94580,7648,8880.4,70,85.5,20,378.8,234,262.7,158,169.5,203,219,872,987.2,935,1027.9,394,452.7
94586,268,9000.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,303.7,32,751.3,11,412.2
94587,17826,8375.3,234,112,45,318.3,667,300,470,225.4,412,191.3,2387,1098.8,2150,975.7,761,342.3
94588,5958,7642.6,42,46.1,-1,-1,148,183.8,83,135.8,108,149.2,458,596.1,591,699.4,199,210.8
94601,17493,11895.8,301,194.5,102,806.7,303,251.1,350,282.6,362,305.3,1826,1422.5,1927,1513.5,843,545.5
94602,9312,9837.9,90,101.7,26,465.4,202,188.8,207,186.5,247,230.7,811,753.8,1116,1013.5,289,302.1
94603,12961,14860,286,302.9,66,763.1,272,397,343,487.5,286,429.8,1402,1902.1,1308,1748.1,703,751.7
94605 & 94613,14865,11900.7,354,286,80,996.1,322,247.9,360,276,405,304.8,1691,1305.8,1991,1472.2,771,612.3
94606,10468,9801.1,201,205.9,52,807.8,208,194.8,193,184.5,235,229.2,991,928.3,1209,1116.4,364,305.3
94607,8879,10937.6,163,229.3,40,871.5,178,206.6,238,270.3,263,305.1,901,1059.6,1250,1478.7,406,490.7
94608,8943,10727.9,141,196.3,31,720.8,206,250.6,230,274,199,247.8,829,983.7,1021,1190.5,426,448
94609,6625,11422.2,70,126.4,15,477.2,126,224.9,186,334.8,165,309.8,638,1165.6,731,1244.3,241,381.8
94610,7247,8007.9,50,68.6,16,368.6,150,151.9,144,144.9,188,187.6,568,591.5,801,773.4,201,199.9
94611,9047,7697.6,58,49.9,11,200.3,211,137.8,174,110.9,243,159.9,541,373.9,1164,767.5,259,202
94612,6007,11523.2,68,210.4,14,819.1,124,188.8,172,241.3,166,227.1,601,926.3,844,1278.2,212,405
94618,3584,7214.3,13,29.5,-1,-1,65,110.7,51,100.3,88,155.3,158,302.8,366,630.9,66,115.4
94619,6709,9658.3,95,149.1,28,690,140,169.8,144,176.5,217,277.2,615,782.5,825,1038.9,272,394.8
94621,12480,14515.1,307,324,102,1182.2,221,335.6,306,451.9,242,364.3,1353,1929.3,1346,1916.8,608,670.2
94702,4968,9958.4,66,153.4,16,630.4,133,236.8,134,232.8,175,307.4,444,803.5,606,1067.5,209,393.4
94703,4896,8196.5,75,149.7,21,687.3,101,164.7,120,189.1,128,211.1,419,658.3,545,857.9,215,324.2
94704,2661,8826.7,21,140.2,-1,-1,63,207.3,41,140,34,109.8,180,598,298,993.2,75,262.1
94705,3189,7781.7,16,55.5,-1,-1,72,135.7,68,134.4,85,165.8,176,344,342,640,82,169.5
94706,4142,7340.1,41,73.5,20,523.4,79,139.7,39,71.5,90,152.5,217,364.7,327,544.4,92,150.5
94707,2894,6892.2,12,28.2,-1,-1,95,147.3,57,83.2,103,153.7,148,255.7,370,562.2,59,123.2
94708,2622,6519.9,12,32.8,-1,-1,75,113.5,34,46.6,82,126.4,96,155.2,334,529.5,49,127.4
94709,1654,6899.7,-1,-1,-1,-1,28,111.6,18,58.9,46,181.1,79,266.1,177,651,39,141.4
94710,2050,8913.9,33,151.4,-1,-1,51,224,37,171.9,52,250.6,169,789.6,177,802.9,95,362.8
94720,112,4488.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
