Geography,All ED Visits Num,"All ED Visits Age-Adjusted Rate per 100,000",Diabetes-Related ED Visits Num,"Diabetes-Related ED Visits Age-Adjusted Rate per 100,000",Coronary Heart Disease ED Visits Num,"Coronary Heart Disease ED Visits Age-Adjusted Rate per 100,000",Stroke ED Visits Num,"Stroke ED Visits Age-Adjusted Rate per 100,000",Obesity-Related ED Visits Num,"Obesity-Related ED Visits Age-Adjusted Rate per 100,000",Depression-Related ED Visits Num,"Depression-Related ED Visits Age-Adjusted Rate per 100,000",Mental Health ED Visits Num,"Mental Health ED Visits Age-Adjusted Rate per 100,000",Alcohol ED Visits Num,"Alcohol ED Visits Age-Adjusted Rate per 100,000",Drug ED Visits Num,"Drug ED Visits Age-Adjusted Rate per 100,000",Heart Disease ED Visits Num,"Heart Disease ED Visits Age-Adjusted Rate per 100,000",Congestive Heart Failure ED Visits Num,"Congestive Heart Failure ED Visits Age-Adjusted Rate per 100,000",Respiratory Illness ED Visits Num,"Respiratory Illness ED Visits Age-Adjusted Rate per 100,000",Acute Bronchitis ED Visits Num,"Acute Bronchitis ED Visits Age-Adjusted Rate per 100,000",Pneumonia ED Visits Num,"Pneumonia ED Visits Age-Adjusted Rate per 100,000",Chronic Bronchitis ED Visits Num,"Chronic Bronchitis ED Visits Age-Adjusted Rate per 100,000",Hypertension ED Visits Num,"Hypertension ED Visits Age-Adjusted Rate per 100,000",Asthma ED Visits Num,"Asthma ED Visits Age-Adjusted Rate per 100,000",Motor Vehicle Crash-Related ED Visits Num,"Motor Vehicle Crash-Related ED Visits Age-Adjusted Rate per 100,000",Self-Harm-Related ED Visits Num,"Self-Harm-Related ED Visits Age-Adjusted Rate per 100,000",Assault-Related ED Visits Num,"Assault-Related ED Visits Age-Adjusted Rate per 100,000",Unintentional Injury-Related ED Visits Num,"Unintentional Injury-Related ED Visits Age-Adjusted Rate per 100,000",Avoidable ED Visits Num,"Avoidable ED Visits Age-Adjusted Rate per 100,000"
94601,66880,43223.7,5305,3950,48,36.8,102,81,1632,1092.8,1278,845.1,2464,1605.2,860,556.8,376,238.1,473,370.2,171,135.7,5591,3525.7,277,175.7,352,243.2,169,133.1,305,225.2,1272,795.5,1920,1201.6,158,98.6,1621,999,12312,7924.9,9302,6036.3
94602,29024,32186,2176,2043.3,48,42.9,82,81.3,654,695,787,845.1,1490,1620.7,635,646.5,180,209.1,418,373.6,144,123.7,2047,2300.5,121,128.6,176,178.8,99,81.8,164,158.1,466,526.5,839,972.6,93,113.7,645,772.7,6172,6985.5,3878,4399.1
94603,55820,59509.2,4300,5545.3,73,108.9,77,114.7,1650,1873.8,867,974.2,1904,2078.8,624,691.7,284,297.8,477,666.4,217,313.8,5463,5611.9,342,363.8,310,338.9,192,259.3,298,376.7,1370,1435.4,1567,1610.2,136,132.8,1182,1211.9,9623,10036.4,8045,8579.6
94605 & 94613,61528,50295.8,5177,3975.8,88,66,133,99.2,2169,1785.8,1339,1081,2293,1874.6,701,568.1,315,259,604,450.2,237,172.8,5699,4726.3,332,269,287,233.5,228,165.5,354,267.5,1404,1181,1775,1470,163,136.5,1267,1054.6,11226,9291.9,8627,7160
94606,38320,34664.2,2842,2543.3,39,36.3,80,76.7,870,776.3,849,723.5,1514,1319.4,635,552.8,196,169,308,283.7,94,84.3,3059,2863.4,161,142.6,179,169.6,120,107,226,197.5,728,697.6,1055,913.2,94,82.8,889,757,7156,6585.6,5245,4744.3
94607,37924,47115.6,2950,3458.9,34,39.2,62,72.5,863,1069.5,861,1043,1738,2071.9,678,802.4,249,300.1,419,491.3,177,204.4,3471,4455.7,154,184.5,192,237.1,194,222.3,223,264,934,1218.4,961,1163.3,74,95.2,877,1052.7,6665,8485.2,5065,6390.7
94608,35269,40499.4,2756,3067.9,59,67.9,90,111.2,1120,1222.7,993,1030.7,1611,1688.8,531,540.3,215,224.8,355,421,126,143.3,3374,4021.7,169,188.5,171,202.1,145,177.2,209,230.6,983,1151.7,981,1049,108,123.4,659,684,6939,8154.6,4595,5304.1
94609,25135,40082.6,2009,3333.4,27,47.5,30,55.7,637,928.5,716,1036.1,1280,1882.4,360,519,157,222,245,427.7,74,129.3,2152,3602.4,109,169.2,142,245.1,70,107.7,154,245.6,520,889.2,697,1021.5,64,105.9,477,712.9,5030,8122.7,3348,5361.5
94610,20297,22301.5,1314,1293.9,34,35,66,67.3,586,581.4,679,697.4,866,933.9,290,298.1,102,115.4,292,304,85,89.1,1425,1644.8,72,77.1,123,131.8,52,50.5,128,124.9,339,385.8,563,589.2,48,68,285,297.8,5040,5753.3,2336,2561.5
94611,21113,19003.5,1247,902.9,44,28.4,99,62.7,436,361.4,783,686.9,957,921.2,258,223.4,96,99.4,366,246.7,52,34.2,1207,1143.7,68,60.5,112,91.5,59,40.8,120,84.8,226,206.8,525,504.7,50,58,171,178.7,6095,5667.5,2079,1930.3
94612,24501,51330.4,2082,3501,20,27.6,54,74.2,548,1051,821,1541.5,1841,3509.8,855,1546.3,181,360.1,215,326.3,77,115.6,1945,4587.1,89,193.2,128,234.8,118,177.5,161,281.8,434,1037.9,526,1105.8,69,150.1,491,1012.4,4204,9410.6,3333,7281.4
94618,7247,14926.6,317,570.7,16,23.2,46,76.3,125,226.1,274,551.5,304,666.5,94,204.3,25,63.2,122,200.5,18,30.2,397,886.2,25,50.3,46,92.2,-1,-1,51,88.6,82,174.8,160,334.4,20,56.7,38,88.6,2306,4858.4,614,1362.7
94619,21233,31474.6,1639,2063.6,27,31.3,87,112.2,778,1114.6,479,696.7,767,1142.5,221,320.5,95,148.7,233,287.7,87,101.4,1726,2662.3,102,153.7,110,154.1,39,48.9,136,178.3,414,644.5,629,943.9,66,107.9,384,599.8,4613,6965.8,2667,4033.9
94621,54727,59964.3,4401,5905.3,40,55.1,65,97.6,1540,1821.7,985,1150.6,1753,1986.2,511,601.5,270,298.3,337,468.9,155,220.8,5265,5619.5,317,343.7,267,301.5,210,303.8,281,368,1280,1400.9,1482,1580.7,139,141.5,1201,1248.6,9341,9964.2,7907,8765.3
94702,15905,32441.3,1514,2773.2,33,59,45,80.3,406,793.9,588,1148.4,953,1831,353,643.6,81,165.8,207,370.7,68,114,1232,2634.3,63,127.7,74,146,70,120.5,92,168.2,264,558.3,384,772.9,46,106.3,232,479.3,3420,7293.3,1794,3767
94703,17305,28041.1,1427,2181.2,27,42,31,49.2,390,604.4,567,840.9,872,1318.8,204,294,98,145,180,271.5,59,87.2,1448,2436.3,55,89.5,93,153.5,86,126.1,83,125.9,377,640.8,425,663.5,42,68,232,351.1,3904,6596.2,1930,3190.9
94704,11966,31726.3,614,2047.3,13,45.1,14,43.6,173,502.5,477,1256,1131,2703.5,432,986.6,109,223.3,122,394.3,40,150.6,862,2559.3,58,212.9,50,155.7,28,93.1,56,194.4,139,441.7,275,588.1,33,35.7,205,396.4,2764,6906.4,1383,3825.7
94705,8045,19471.6,414,841.9,12,21.3,40,74.5,101,215.4,364,827.3,619,1503.1,269,642.8,48,109.9,138,267.8,23,48.2,428,1096.5,29,77.8,46,93.6,13,25.7,63,131,91,242.8,182,450.2,30,84.3,100,242.3,2337,6022.1,679,1670.9
94706,9186,16057.3,357,568.5,15,28.2,33,55,163,267.1,339,589.4,377,679.8,97,168.6,43,76.2,125,211.5,15,27,595,1040.9,29,53.9,66,112.5,11,14,38,63.5,129,216.9,242,432.5,32,61.4,69,123.8,2766,4887.5,812,1437.2
94707,5925,15878.6,261,476.7,16,27.4,34,53.4,96,240.5,235,638.3,286,912,105,313.3,41,148.2,140,240.3,19,27.5,291,877.6,18,51.5,45,110.3,-1,-1,43,80.2,63,184,116,379.6,20,79.7,27,91.3,1896,5291.9,415,1211.8
94708,4740,12573.9,189,350.7,19,29,39,68.6,71,148.2,170,480.4,223,808.1,108,458.6,16,57.5,106,174.3,12,16.1,195,595.1,-1,-1,22,40.9,-1,-1,21,38.3,33,102.7,100,301.2,18,68.5,25,97.2,1586,4376.6,303,813
94709,4598,16547.3,212,746.1,-1,-1,17,63.8,96,318.6,201,602.7,330,1082.4,148,550.8,48,143.5,64,239.4,-1,-1,236,966,15,45.7,17,76.2,-1,-1,24,92.6,48,234.9,106,316.3,18,50.5,40,101.3,1265,4782.8,465,1677.6
94710,7806,31665.9,601,2603.3,14,63.2,13,52.6,174,729.6,251,939.2,440,1708.3,155,571,71,274.8,79,331.2,33,135.4,653,2698,28,105.6,41,174.6,32,131.2,36,153.4,143,600.2,202,771.7,22,80.7,113,420.9,1714,7012.9,961,3878.3
94720,964,24415,35,2380.7,-1,-1,-1,-1,-1,-1,14,343.7,150,2732.1,118,724.9,12,72.7,-1,-1,-1,-1,79,2085.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,961.2,-1,-1,19,257.4,254,5923.4,116,3062.1
